geo_id,area_name,year,total_population,pop_25_plus,pop_25_less_9th,pop_25_hs_grad,pop_25_bach_plus,pop_25_34,pop_25_34_bach_plus,pop_45_64_bach_plus
0500000US36045,"Jefferson County, New York",2015,15299,73898,1845,24726,6623,18468,13961,3494
0500000US36047,"Kings County, New York",2015,251964,1735647,178723,455076,221600,405295,358326,135972
0500000US36049,"Lewis County, New York",2015,2259,18500,560,8375,1200,2831,3133,723
0500000US36051,"Livingston County, New York",2015,9894,42546,1235,14352,4525,5965,7165,1902
0500000US36053,"Madison County, New York",2015,9857,47612,1475,16062,5458,6754,7874,2042
0500000US36055,"Monroe County, New York",2015,82330,504452,16392,126050,80448,91303,86969,36279
0500000US36057,"Montgomery County, New York",2015,4131,34275,1644,12561,2064,4882,5915,1002
0500000US36059,"Nassau County, New York",2015,120229,931785,43562,225825,178633,138020,167912,83685
0500000US36061,"New York County, New York",2015,161844,1229036,88770,154993,348515,346160,239798,153739
0500000US36063,"Niagara County, New York",2015,19730,150210,3997,52737,14530,23345,24739,7472
0500000US36065,"Oneida County, New York",2015,23311,160092,7513,53425,14986,24658,26782,6816
0500000US36067,"Onondaga County, New York",2015,50990,313724,9209,82150,47325,54459,53739,20723
0500000US36069,"Ontario County, New York",2015,10511,75472,1819,21391,10955,10284,12580,5097
0500000US36071,"Orange County, New York",2015,39554,237282,9477,69556,28265,36751,47828,15400
0500000US36073,"Orleans County, New York",2015,3940,29584,1306,11769,1728,4164,5006,649
0500000US36075,"Oswego County, New York",2015,14556,79996,3091,31920,5800,12432,13983,2557
0500000US36077,"Otsego County, New York",2015,10762,40102,1148,13822,5418,5330,5937,1687
0500000US36079,"Putnam County, New York",2015,8086,69527,2580,19011,11184,9325,12875,5527
0500000US36081,"Queens County, New York",2015,210593,1619173,173583,442208,179906,329154,329986,115195
0500000US36083,"Rensselaer County, New York",2015,17879,109306,2753,31735,13588,19205,19045,5988
0500000US36085,"Richmond County, New York",2015,43831,322287,15027,103017,40037,56161,62710,22671
0500000US36087,"Rockland County, New York",2015,29848,201901,11496,46380,36526,30975,36648,15832
0500000US36089,"St. Lawrence County, New York",2015,16725,72096,3041,26034,8166,11592,12582,3178
0500000US36091,"Saratoga County, New York",2015,18696,156862,2386,40553,25162,24862,29742,13516
0500000US36093,"Schenectady County, New York",2015,14871,105720,3880,31705,14926,18211,19139,6385
0500000US36095,"Schoharie County, New York",2015,3733,22149,760,8520,1855,2957,3577,811
0500000US36097,"Schuyler County, New York",2015,1470,13283,381,5161,1245,1732,2117,522
0500000US36099,"Seneca County, New York",2015,3051,24921,1062,8631,2072,3811,4049,935
0500000US36101,"Steuben County, New York",2015,8110,68314,2203,25668,6957,10193,11550,3052
0500000US36103,"Suffolk County, New York",2015,138167,1022970,47721,299525,156737,151151,194315,75224
0500000US36105,"Sullivan County, New York",2015,6651,53118,2161,18084,5245,7363,9047,1961
0500000US36107,"Tioga County, New York",2015,3863,35148,817,12625,3485,4977,5705,1436
0500000US36109,"Tompkins County, New York",2015,28400,59323,815,11756,16983,12909,10244,5645
0500000US36111,"Ulster County, New York",2015,18323,128759,3908,38900,17511,18709,22037,7031
0500000US36113,"Warren County, New York",2015,5292,47243,1283,15727,6223,6318,7480,2311
0500000US36115,"Washington County, New York",2015,5403,44741,1503,18605,3446,6614,8063,1661
0500000US36117,"Wayne County, New York",2015,7567,64078,2020,23724,5342,8887,10877,2924
0500000US36119,"Westchester County, New York",2015,83942,659258,45038,133756,152063,96140,128517,65772
0500000US36121,"Wyoming County, New York",2015,3544,29663,1144,12114,1615,4920,5238,886
0500000US36123,"Yates County, New York",2015,2809,16533,1301,5710,1900,1989,2450,523
